,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
10474,The University of Tennessee-Knoxville,Public,Marketing.,Bachelor's Degree,62427,64833,61968
10475,The University of Tennessee-Knoxville,Public,History.,Bachelor's Degree,43336,45338,41172
10476,The University of Tennessee-Martin,Public,"Agriculture, General.",Bachelor's Degree,52293,57747,42027
10477,The University of Tennessee-Martin,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,42991,45379,41801
10478,The University of Tennessee-Martin,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,38915,42814,37202
10479,The University of Tennessee-Martin,Public,Health and Physical Education/Fitness.,Bachelor's Degree,46875,49383,45984
10480,The University of Tennessee-Martin,Public,Criminal Justice and Corrections.,Bachelor's Degree,43797,50739,42096
10481,The University of Tennessee-Martin,Public,"Visual and Performing Arts, General.",Bachelor's Degree,37646,36097,39398
10482,The University of Tennessee-Martin,Public,"Business Administration, Management and Operations.",Bachelor's Degree,58624,64421,49425
10483,The University of Tennessee-Martin,Public,Accounting and Related Services.,Bachelor's Degree,68020,66426,68803
10484,The University of Tennessee-Martin,Public,Finance and Financial Management Services.,Bachelor's Degree,58503,57811,58488
10485,The University of Tennessee-Martin,Public,Marketing.,Bachelor's Degree,52397,53918,52332
10486,Tennessee State University,Public,Communication and Media Studies.,Bachelor's Degree,40921,33691,41987
10487,Tennessee State University,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,45926,50898,44515
10488,Tennessee State University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,39832,38775,40229
10489,Tennessee State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,48027,57511,42834
10490,Tennessee State University,Public,Rehabilitation and Therapeutic Professions.,Doctoral Degree,88762,90320,88635
10491,Tennessee State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,55205,56523,53365
10492,Tennessee Technological University,Public,"Agriculture, General.",Bachelor's Degree,57554,67968,44910
10493,Tennessee Technological University,Public,"Communication, Journalism, and Related Programs, Other.",Bachelor's Degree,48176,53302,47815
10494,Tennessee Technological University,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,42465,43532,42365
10495,Tennessee Technological University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,47032,55048,44046
10496,Tennessee Technological University,Public,"Biology, General.",Bachelor's Degree,55612,58768,54836
10497,Tennessee Technological University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,44792,46670,45170
10498,Tennessee Technological University,Public,"Psychology, General.",Bachelor's Degree,37538,48373,36470
10499,Tennessee Technological University,Public,Sociology.,Bachelor's Degree,43101,46391,40892
10500,Tennessee Technological University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,60912,65379,53787
10501,Tennessee Technological University,Public,"Business Administration, Management and Operations.",Master's Degree,88328,97677,77018
10502,Tennessee Technological University,Public,Accounting and Related Services.,Bachelor's Degree,60887,67983,55040
10503,Tennessee Technological University,Public,Marketing.,Bachelor's Degree,50694,55399,51431
10504,Trevecca Nazarene University,"Private, nonprofit",Educational Administration and Supervision.,Doctoral Degree,85623,94189,83912
10505,Trevecca Nazarene University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,58804,68135,56085
10506,Trevecca Nazarene University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,80911,75277,84288
10507,Northeast State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,37744,40106,37460
10508,Tusculum University,"Private, nonprofit","Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,52729,59390,48702
10509,Tusculum University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,58012,66339,49640
10510,Tusculum University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,86783,109427,78461
10511,Union University,"Private, nonprofit","Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,61007,61252,63244
10512,Union University,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,142120,147406,135873
10513,Union University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,99193,106847,73909
10514,Vanderbilt University,"Private, nonprofit",Educational Administration and Supervision.,Master's Degree,74615,78309,63820
10515,Vanderbilt University,"Private, nonprofit",Biomedical/Medical Engineering.,Bachelor's Degree,105677,104864,105342
10516,Vanderbilt University,"Private, nonprofit",Law.,First Professional Degree,172684,141504,203591
10517,Vanderbilt University,"Private, nonprofit","Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,73586,71985,75256
10518,Vanderbilt University,"Private, nonprofit",Theological and Ministerial Studies.,Master's Degree,56066,55285,58130
10519,Vanderbilt University,"Private, nonprofit","Social Sciences, General.",Bachelor's Degree,90203,103018,82185
10520,Vanderbilt University,"Private, nonprofit",Economics.,Bachelor's Degree,128449,139290,106121
10521,Vanderbilt University,"Private, nonprofit",Political Science and Government.,Bachelor's Degree,92330,87667,94841
10522,Vanderbilt University,"Private, nonprofit",Health and Medical Administrative Services.,Master's Degree,177317,181499,174145
10523,Vanderbilt University,"Private, nonprofit",Medicine.,First Professional Degree,112986,110450,114843
10524,Vanderbilt University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,122896,131403,120033
10525,Vanderbilt University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,176932,176687,176841
10526,Vanderbilt University,"Private, nonprofit",Accounting and Related Services.,Master's Degree,122891,151797,107472
10527,Vanderbilt University,"Private, nonprofit",Human Resources Management and Services.,Master's Degree,131905,126233,166408
10528,Volunteer State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,43630,49438,41406
10529,Volunteer State Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,49780,56583,40415
10530,Walters State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,36545,41881,33833
10531,Walters State Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,33490,36239,33524
10532,Amarillo College,Public,"Business Administration, Management and Operations.",Associate's Degree,43880,59734,41034
10533,Angelo State University,Public,Student Counseling and Personnel Services.,Master's Degree,57863,51262,59327
10534,Angelo State University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,53423,56365,49747
10535,Angelo State University,Public,"Psychology, General.",Bachelor's Degree,45740,60634,40945
10536,Angelo State University,Public,Rehabilitation and Therapeutic Professions.,First Professional Degree,87720,84507,88827
10537,Angelo State University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,81977,94259,78086
10538,Angelo State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,55115,64448,50904
10539,The Art Institute of Houston,"Private, for-profit",Computer Software and Media Applications.,Bachelor's Degree,53738,45894,55166
10540,The Art Institute of Houston,"Private, for-profit",Culinary Arts and Related Services.,Associate's Degree,30175,32494,27926
10541,The Art Institute of Houston,"Private, for-profit",Culinary Arts and Related Services.,Bachelor's Degree,40110,42590,36970
10542,The Art Institute of Houston,"Private, for-profit",Design and Applied Arts.,Associate's Degree,33845,32999,33805
10543,The Art Institute of Houston,"Private, for-profit",Design and Applied Arts.,Bachelor's Degree,40636,43115,39017
10544,The Art Institute of Houston,"Private, for-profit",Fine and Studio Arts.,Bachelor's Degree,33454,32710,34061
10545,Austin Community College District,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Undergraduate Certificate or Diploma,57930,63351,54524
10546,Austin Community College District,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,57885,69470,51149
10547,Austin Community College District,Public,Criminal Justice and Corrections.,Associate's Degree,42478,54429,39913
10548,Austin Community College District,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,69067,79188,59589
10549,Austin Community College District,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,75886,79047,73604
10550,Austin Community College District,Public,"Business/Commerce, General.",Associate's Degree,55130,60513,54418
10551,Baptist Health System School of Health Professions,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,82201,109587,76687
10552,Baylor College of Medicine,"Private, nonprofit",Medicine.,First Professional Degree,134222,137747,136981
10553,Baylor University,"Private, nonprofit",Communication and Media Studies.,Bachelor's Degree,64645,56125,73912
10554,Baylor University,"Private, nonprofit","Radio, Television, and Digital Communication.",Bachelor's Degree,44092,36141,53425
10555,Baylor University,"Private, nonprofit","Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,56406,64983,52376
10556,Baylor University,"Private, nonprofit",Law.,Doctoral Degree,113657,117229,107581
10557,Baylor University,"Private, nonprofit","Biology, General.",Bachelor's Degree,63803,65359,62955
